,Unnamed: 0,Unnamed: 0.1,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,won
153,661,665,"MACK, CONNIE",FL,14.0,REP,2010,0.23804039,27.5,REP,0.594356574,0,0.14067000000000002,0.0,0.47,False,4.0,46905.0,160,100.00,72.07333,963782.24,1055865.11,1
155,665,667,"POSEY, BILL",FL,15.0,REP,2010,0.291468853,24.8,REP,0.530993089,1,0.1739,1.0,0.47,False,4.0,45613.0,9,100.00,71.1,1094169.05,1027986.87,1
156,666,666,"ROBERTS, C SHANNON",FL,15.0,DEM,2010,0.291468853,24.8,REP,0.419903778,0,0.1739,0.0,0.47,True,4.0,45613.0,500,100.00,71.1,29681.26,30270.73,0
158,671,668,"ROONEY, TOM",FL,16.0,REP,2010,,22.5,REP,0.600932864,1,0.16297,1.0,0.47,False,0.0,43420.0,20,100.00,71.5,1426150.54,993127.75,1
159,682,674,"VEREEN, RODERICK D",FL,17.0,DEM,2010,,17.0,REP,1.0,0,0.67085,1.0,0.47,True,0.0,35017.0,500,,70.03158,512380.69,401644.69,0
160,684,680,"WILSON, FREDERICA S",FL,17.0,DEM,2010,,17.0,REP,1.0,0,0.67085,0.0,0.47,True,0.0,35017.0,500,34.47,70.03158,512380.69,401644.69,1
161,685,686,"BANCIELLA, ROLANDO A",FL,18.0,DEM,2010,0.34105822700000005,31.0,REP,0.421303022,0,0.15277000000000002,1.0,0.47,True,0.0,37823.0,500,100.00,68.71429,11019.0,10742.0,0
162,686,687,"ROS-LEHTINEN, ILEANA",FL,18.0,REP,2010,0.34105822700000005,31.0,REP,0.578696978,1,0.15277000000000002,0.0,0.47,False,0.0,37823.0,500,100.00,68.71429,1668779.17,1103463.35,1
164,705,707,"DIAZ-BALART, MARIO",FL,21.0,REP,2010,,27.1,REP,0.579007772,0,0.16607,1.0,0.47,False,0.0,45943.0,134,100.00,67.2,739770.66,541147.96,1
165,708,709,"KLEIN, RON",FL,22.0,DEM,2010,,37.9,REP,0.54679105,1,0.11745,1.0,0.47,True,0.0,58319.0,43,84.54,66.4,3776866.65,5319671.22,0
166,710,710,"WEST, ALLEN B",FL,22.0,REP,2010,,37.9,REP,0.4531895420000001,0,0.11745,1.0,0.47,False,0.0,58319.0,130,76.67,66.4,6542737.57,6519713.09,1
167,711,712,"HASTINGS, ALCEE L HON",FL,23.0,DEM,2010,,16.6,REP,0.8218262909999999,1,0.62259,1.0,0.47,True,,34942.0,500,100.00,63.2,780445.02,778998.09,1
168,712,713,"SANSARICQ, BERNARD",FL,23.0,REP,2010,,16.6,REP,0.17798351,0,0.62259,1.0,0.47,False,,34942.0,500,100.00,63.2,105750.94,106142.42,0
171,739,740,"HARRIS, OSCAR L. II",GA,1.0,DEM,2010,,19.3,REP,0.334667554,0,0.32669000000000004,1.0,0.47,True,0.0,40999.0,197,100.00,75.7,0.0,0.0,1
172,743,742,"BISHOP, SANFORD D JR.",GA,2.0,DEM,2010,,14.5,REP,0.689489351,1,0.53757,1.0,0.47,True,0.0,31368.0,500,100.00,72.03158,1485600.01,1776499.87,1
174,750,752,"CARTER, LISBETH 'LIZ'",GA,4.0,REP,2010,,29.4,REP,0.0,0,0.71868,0.0,0.47,False,4.0,43435.0,500,54.75,65.6,118101.91,118101.91,1
175,756,759,"LEWIS, JOHN R.",GA,5.0,DEM,2010,,44.8,REP,0.999542065,1,0.58098,1.0,0.47,True,0.0,43902.0,6,100.00,66.1,1013992.48,1115867.93,1
176,771,770,"WOODALL, ROB",GA,7.0,REP,2010,,33.6,REP,0.620284256,0,0.38188,1.0,0.47,False,4.0,60594.0,7,36.29,64.8,399085.75,323801.01,1
177,774,779,"MARSHALL, JIM",GA,8.0,DEM,2010,,18.0,REP,0.572436992,1,0.39623,1.0,0.47,True,0.0,40806.0,5,100.00,65.8,1496152.08,1814549.38,0
178,777,778,"SCOTT, JAMES AUSTIN",GA,8.0,REP,2010,,18.0,REP,0.427563008,0,0.39623,1.0,0.47,False,0.0,40806.0,5,52.36,65.8,1035300.43,1024630.75,1
179,793,795,"EDWARDS, RUSSELL JAMES",GA,10.0,DEM,2010,,25.3,REP,0.392726351,0,0.24644,1.0,0.47,True,0.0,41520.0,81,100.00,66.26666999999999,220662.17,218078.11,1
180,795,796,"GINGREY, J. PHILLIP",GA,11.0,REP,2010,,25.1,REP,0.6818597940000001,1,0.23132,1.0,0.47,False,3.0,49434.0,500,100.00,71.6,1389038.66,920810.5,1
181,796,802,"BARROW, JOHN J.",GA,12.0,DEM,2010,,16.2,REP,0.66000361,1,0.48382,1.0,0.47,True,0.0,35475.0,6,57.87,69.3,1951721.34,1905567.59,1
182,823,829,"DJOU, CHARLES K",HI,1.0,REP,2010,,32.5,REP,0.190654121,1,0.81203,1.0,,False,4.0,66111.0,23,97.41,73.9,2698779.43,2576326.12,0
183,825,817,"HANABUSA, COLLEEN WAKAKO",HI,1.0,DEM,2010,,32.5,REP,0.771360114,0,0.81203,0.0,,True,4.0,66111.0,129,78.94,73.9,2448639.24,2384717.56,1
190,859,860,"ZAUN, BRAD",IA,3.0,REP,2010,0.303093172,27.9,DEM,0.4212996470000001,0,0.11142,1.0,0.48,False,0.0,51542.0,123,42.12,73.1,682761.24,681870.32,0
