name#state#district#parties#year#votes
O'Neill, Bill#OH#14#Democratic#2010#72604
Jelenic, John M.#OH#14#Libertarian#2010#8383
Stivers, Steve#OH#15#Republican#2010#119471
Kilroy, Mary Jo#OH#15#Democratic#2010#91077
Kammerer, William J.#OH#15#Libertarian#2010#6116
Ryon, David#OH#15#Constitution#2010#3887
Buckel, Bill#OH#15#Write-In#2010#45
Renacci, Jim#OH#16#Republican#2010#114652
Boccieri, John A.#OH#16#Democratic#2010#90833
Blevins, Jeffrey J.#OH#16#Libertarian#2010#14585
Ross, Robert L.#OH#16#Write-In#2010#67
Ryan, Timothy J.#OH#17#Democratic#2010#102758
Graham, Jim#OH#17#Republican#2010#57352
Traficant, James A., Jr.#OH#17#Independent#2010#30556
Gibbs, Bob#OH#18#Republican#2010#107426
Space, Zack#OH#18#Democratic#2010#80756
Sutton, Lindsey Dean#OH#18#Write-In,Constitution,Constitution#2010#11246
Pitrone, Mark#OH#18#Write-In#2010#20
Sullivan, John#OK#1#Republican#2010#151173
O'Dell, Angelia#OK#1#Independent#2010#45656
Boren, Dan#OK#2#Democratic#2010#108203
Thompson, Charles#OK#2#Republican#2010#83226
Lucas, Frank D.#OK#3#Republican#2010#161927
Robbins, Frankie#OK#3#Democratic#2010#45689
Cole, Tom#OK#4#Republican#2010#Unopposed
Lankford, James#OK#5#Republican#2010#123236
Coyle, Billy#OK#5#Democratic#2010#68074
White, Dave#OK#5#Independent#2010#2728
Duffe, Clark#OK#5#Independent#2010#3067
Wu, David#OR#1#Democratic#2010#160357
Cornilles, Rob#OR#1#Republican#2010#122858
LaMunyon, Don#OR#1#Constitution#2010#3855
Henry, Chris#OR#1#Pacific Green,Progressive#2010#2955
Tabor, H. Joe#OR#1#Libertarian#2010#2492
Walden, Greg#OR#2#Republican#2010#206245
Segers, Joyce B.#OR#2#Democratic#2010#72173
Blumenauer, Earl#OR#3#Democratic#2010#193104
Lopez, Delia#OR#3#Republican#2010#67714
Lawrence, Jeff#OR#3#Libertarian,Independent Party#2010#8380
Meo, Michael#OR#3#Pacific Green,Progressive#2010#6197
DeFazio, Peter A.#OR#4#Democratic,Progressive,Working Families#2010#162416
Robinson, Art#OR#4#Republican,Constitution,Independent Party#2010#129877
Beilstein, Mike#OR#4#Pacific Green#2010#5215
Schrader, Kurt#OR#5#Democratic#2010#145319
Bruun, Scott#OR#5#Republican,Independent Party#2010#130313
Lugo, Chris#OR#5#Pacific Green,Progressive#2010#7557
Brady, Robert A.#PA#1#Democratic#2010#149944
Fattah, Chaka#PA#2#Democratic#2010#182800
Hellberg, Rick#PA#2#Republican#2010#21907
Kelly, Mike#PA#3#Republican#2010#111909
Dahlkemper, Kathy#PA#3#Democratic#2010#88924
Altmire, Jason#PA#4#Democratic#2010#120827
Rothfus, Keith#PA#4#Republican#2010#116958
Thompson, Glenn#PA#5#Republican#2010#127427
Pipe, Michael#PA#5#Democratic#2010#52375
Etzel, Vernon L#PA#5#Libertarian#2010#5710
Gerlach, Jim#PA#6#Republican#2010#133770
Trivedi, Manan#PA#6#Democratic#2010#100493
Meehan, Patrick#PA#7#Republican#2010#137825
Lentz, Bryan#PA#7#Democratic#2010#110314
Schneller, James D#PA#7#American Congress Party#2010#2708
Fitzpatrick, Michael G.#PA#8#Republican#2010#130759
Murphy, Patrick J.#PA#8#Democratic#2010#113547
Shuster, Bill#PA#9#Republican#2010#141904
Conners, Tom#PA#9#Democratic#2010#52322
Marino, Thomas A.#PA#10#Republican#2010#110599
Carney, Christopher Paul#PA#10#Democratic#2010#89846
Barletta, Louis J.#PA#11#Republican#2010#102179
Kanjorski, Paul E.#PA#11#Democratic#2010#84618
Critz, Mark S.#PA#12#Democratic#2010#94056
Burns, Tim#PA#12#Republican#2010#91170
Schwartz, Allyson Y.#PA#13#Democratic#2010#118710
Adcock, Carson Dee#PA#13#Republican#2010#91987
Doyle, Mike#PA#14#Democratic#2010#122073
Haluszczak, Melissa#PA#14#Republican#2010#49997
Bortz, Ed#PA#14#Green#2010#5400
Dent, Charles W.#PA#15#Republican#2010#109534
Callahan, John B.#PA#15#Democratic#2010#79766
Towne, Jake#PA#15#Towne for Congress#2010#15248
Pitts, Joseph R.#PA#16#Republican#2010#134113
Herr, Lois#PA#16#Democratic#2010#70994
Holden, Tim#PA#17#Democratic#2010#118486
Argall, Dave#PA#17#Republican#2010#95000
Murphy, Tim#PA#18#Republican#2010#161888
Connolly, Dan#PA#18#Democratic#2010#78558
Platts, Todd#PA#19#Republican#2010#165219
Sanders, Ryan S.#PA#19#Democratic#2010#53549
Monighan, Joshua A#PA#19#Independent Patriots#2010#10988
Cicilline, David N.#RI#1#Democratic#2010#81269
Segal, David A.#RI#1#Democratic,Write-In#2010#13
Loughlin, John J., II#RI#1#Republican#2010#71542
Capalbo, Kenneth A.#RI#1#Independent#2010#6424
Raposa, Gregory#RI#1#Independent#2010#1334
Gemma, Anthony#RI#1#Write-In#2010#9
Kennedy, Patrick#RI#1#Write-In#2010#6
Mouse, Mickey#RI#1#Write-In#2010#6
Langevin, James R.#RI#2#Democratic#2010#104442
Dennigan, Elizabeth M.#RI#2#Democratic,Write-In#2010#24
Zaccaria, Mark S.#RI#2#Republican#2010#55409
Matson, John O.#RI#2#Independent#2010#14584
Cicilline, David#RI#2#Write-In#2010#5
Scott, Tim#SC#1#Republican#2010#152755
Frasier, Ben#SC#1#Democratic#2010#67008
Groce, Rob#SC#1#Working Families#2010#4148
Dobbs, Robert#SC#1#Green#2010#3369
Blandford, Keith#SC#1#Libertarian#2010#2750
Wood, Jimmy#SC#1#Independence#2010#2489
McCullough, M. E. Mac#SC#1#United Citizens#2010#1013
Wilson, Joe#SC#2#Republican#2010#138861
Miller, Rob#SC#2#Democratic#2010#113625
McCain, Eddie#SC#2#Libertarian#2010#4228
Beaman, Marc#SC#2#Constitution#2010#2856
Duncan, Jeff#SC#3#Republican#2010#126235
Dyer, Jane Ballard#SC#3#Democratic,Working Families#2010#73095
Dalen, John#SC#3#Constitution#2010#2682
Gowdy, Trey#SC#4#Republican#2010#137586
Corden, Paul#SC#4#Democratic#2010#62438
Edwards, Dave#SC#4#Constitution#2010#11059
Mahler, Rick#SC#4#Libertarian#2010#3010
Walters, C. Faye#SC#4#Green#2010#2564
Mulvaney, Mick#SC#5#Republican#2010#125834
Spratt, John#SC#5#Democratic#2010#102296
"Clyburn, James E. ""Jim"""#SC#6#Democratic#2010#125459
Pratt, Jim#SC#6#Republican#2010#72661
Muhammad, Nammu Y.#SC#6#Green#2010#1389
Noem, Kristi#SD#0#Republican#2010#153703
Sandlin, Stephanie Herseth#SD#0#Democratic#2010#146589
Marking, B. Thomas#SD#0#Independent#2010#19134
Roe, David Philip#TN#1#Republican#2010#123006
Clark, Michael Edward#TN#1#Democratic#2010#26045
Steck, Kermit E.#TN#1#Independent#2010#3110
Duncan, John J., Jr.#TN#2#Republican#2010#141796
Hancock, Dave#TN#2#Democratic#2010#25400
Leinweber, Joseph R., Jr.#TN#2#Independent#2010#2497
Andrew, D.H. (Andy)#TN#2#Independent#2010#1993
Samples, Greg#TN#2#Independent#2010#1185
Headings, H. James#TN#2#Independent#2010#509
Fleischmann, Chuck#TN#3#Republican#2010#92032
Wolfe, John#TN#3#Democratic#2010#45387
Kyriakidis, Savas T.#TN#3#Independent#2010#17077
DeVol, Mark#TN#3#Independent#2010#5773
Barkman, Don#TN#3#Independent#2010#811
Goodwin, Gregory C.#TN#3#Independent#2010#380
Humphries, Robert#TN#3#Independent#2010#380
Kiah, Mo#TN#3#Independent#2010#216
DesJarlais, Scott#TN#4#Republican#2010#103969
Davis, Lincoln#TN#4#Democratic#2010#70254
Curtis, Paul H.#TN#4#Independent#2010#3178
York, Gerald#TN#4#Independent#2010#2159
Gray, James#TN#4#Independent#2010#1714
Johnson, Richard S.#TN#4#Independent#2010#917
Cooper, Jim#TN#5#Democratic#2010#99162
Hall, David#TN#5#Republican#2010#74204
Collings, Stephen W.#TN#5#Independent#2010#584
"Smith, John ""Big John"""#TN#5#Independent#2010#533
Miller, Jackie#TN#5#Independent#2010#444
Miglietta, John P.#TN#5#Independent#2010#396
Crook, Bill#TN#5#Independent#2010#391
Whitfield, James G., II#TN#5#Independent#2010#333
Moore, Joe D., Jr.#TN#5#Independent#2010#159
Taylor, Clark#TN#5#Independent#2010#156
Black, Diane#TN#6#Republican#2010#128517
Carter, Brett#TN#6#Democratic#2010#56145
Boyd, Jim#TN#6#Independent#2010#2157
Purcell, David#TN#6#Independent#2010#1296
Hay, Tommy N.#TN#6#Independent#2010#1270
Gore, Brandon E.#TN#6#Independent#2010#1103
Sprague, Stephen R.#TN#6#Independent#2010#596
Blackburn, Marsha#TN#7#Republican#2010#158916
Rabidoux, Greg#TN#7#Democratic#2010#54347
Stone, J. W. (Bill)#TN#7#Independent#2010#6320
Fincher, Stephen Lee#TN#8#Republican#2010#98759
Hart, James#TN#8#Write-In,Republican,Write-In#2010#9
Herron, Roy#TN#8#Democratic#2010#64960
Janes, Donn#TN#8#Independent#2010#2440
Rawles, Mark J.#TN#8#Independent#2010#1237
Cohen, Steve#TN#9#Democratic#2010#99827
Bergmann, Charlotte#TN#9#Republican#2010#33879
Sullivan, Sandra#TN#9#Independent#2010#673
Steele, Perry#TN#9#Independent#2010#528
Gohmert, Louie#TX#1#Republican#2010#129398
Parkes, Charles F., III#TX#1#Libertarian#2010#14811
Poe, Ted#TX#2#Republican#2010#130020
Smith, David W.#TX#2#Libertarian#2010#16711
Johnson, Sam#TX#3#Republican#2010#101180
Lingenfelder, John#TX#3#Democratic#2010#47848
Claytor, Christopher J.#TX#3#Libertarian#2010#3602
Pierce, Harry#TX#3#Write-In#2010#22
Hall, Ralph M.#TX#4#Republican#2010#136338
Hathcox, VaLinda#TX#4#Democratic#2010#40975
Prindle, Jim D.#TX#4#Libertarian#2010#4729
Shepard, Shane#TX#4#Independent#2010#4244
Hensarling, Jeb#TX#5#Republican#2010#106742
Berry, Tom#TX#5#Democratic#2010#41649
Ashby, Ken#TX#5#Libertarian#2010#2958
Barton, Joe L.#TX#6#Republican#2010#107140
Cozad, David E.#TX#6#Democratic#2010#50717
Severns, Byron#TX#6#Libertarian#2010#4700
Culberson, John#TX#7#Republican#2010#143655
Townsend, Bob#TX#7#Libertarian#2010#31704
Squiers, Lissa#TX#7#Write-In#2010#1019
Brady, Kevin#TX#8#Republican#2010#161417
Hargett, Kent#TX#8#Democratic#2010#34694
West, Bruce#TX#8#Libertarian#2010#4988
Green, Al#TX#9#Democratic#2010#80107
Mueller, Steve#TX#9#Republican#2010#24201
Hope, Michael W.#TX#9#Libertarian#2010#1459
McCaul, Michael#TX#10#Republican#2010#144980
Ankrum, Ted#TX#10#Democratic#2010#74086
"Perkins, Jeremiah ""JP"""#TX#10#Libertarian#2010#5105
Conaway, Mike#TX#11#Republican#2010#125581
Quillian, James#TX#11#Democratic#2010#23989
Powell, James A.#TX#11#Libertarian#2010#4321
Howe, Jim#TX#11#Green#2010#1449
Granger, Kay#TX#12#Republican#2010#109882
Smith, Tracey#TX#12#Democratic#2010#38434
Solodow, Matthew#TX#12#Libertarian#2010#4601
Thornberry, Mac#TX#13#Republican#2010#113201
Dyer, Keith#TX#13#Independent#2010#11192
Burwell, John T., Jr.#TX#13#Libertarian#2010#5650
Paul, Ron#TX#14#Republican#2010#140623
Pruett, Robert#TX#14#Democratic#2010#44431
Hinojosa, Rubén#TX#15#Democratic#2010#53546
Zamora, Eddie#TX#15#Republican#2010#39964
Cohn, Aaron I.#TX#15#Libertarian#2010#2570
Reyes, Silvestre#TX#16#Democratic#2010#49301
Besco, Tim#TX#16#Republican#2010#31051
Collins, Bill#TX#16#Libertarian#2010#4319
Collins, Tim#TX#16#Write-In#2010#221
Flores, Bill#TX#17#Republican#2010#106696
Edwards, Chet#TX#17#Democratic#2010#63138
Kelly, Richard B.#TX#17#Libertarian#2010#2808
Lee, Sheila Jackson#TX#18#Democratic#2010#85108
Faulk, John#TX#18#Republican#2010#33067
Taylor, Mike#TX#18#Libertarian#2010#3118
"Meyer, Charles B. ""ChuckM"""#TX#18#Write-In#2010#28
Neugebauer, Randy#TX#19#Republican#2010#106059
Wilson, Andy#TX#19#Democratic#2010#25984
"Peterson, Richard ""Chip"""#TX#19#Libertarian#2010#4315
Gonzales, Charles A.#TX#20#Democratic#2010#58645
Trotter, Clayton#TX#20#Republican#2010#31757
"Idrogo, Michael ""Commander"""#TX#20#Libertarian#2010#1783
Smith, Lamar#TX#21#Republican#2010#162924
Melnick, Lainey#TX#21#Democratic#2010#65927
Strohm, James Arthur#TX#21#Libertarian#2010#7694
Olson, Pete#TX#22#Republican#2010#140537
Rogers, Kesha#TX#22#Democratic#2010#62082
Susman, Steven#TX#22#Libertarian#2010#5538
Williams, Johnny#TX#22#Write-In#2010#66
"Canseco, Francisco ""Quico"""#TX#23#Republican#2010#74853
Rodriguez, Ciro D.#TX#23#Democratic#2010#67348
Stephens, Craig T.#TX#23#Independent#2010#5432
Nitschke, Martin#TX#23#Libertarian#2010#2482
Scharf, Ed#TX#23#Green#2010#1419
Marchant, Kenny E.#TX#24#Republican#2010#100078
Sparks, David#TX#24#Libertarian#2010#22609
Doggett, Lloyd#TX#25#Democratic#2010#99967
Campbell, Donna#TX#25#Republican#2010#84849
Stutsman, Jim#TX#25#Libertarian#2010#4431
Burgess, Michael C.#TX#26#Republican#2010#120984
Durrance, Neil L.#TX#26#Democratic#2010#55385
Boler, Mark#TX#26#Libertarian#2010#4062
Farenthold, R. Blake#TX#27#Republican#2010#51001
Ortiz, Solomon P.#TX#27#Democratic#2010#50226
Mishou, Ed#TX#27#Libertarian#2010#5372
Cuellar, Henry#TX#28#Democratic#2010#62773
Underwood, Bryan#TX#28#Republican#2010#46740
Kaat, Stephen#TX#28#Libertarian#2010#1889
Green, Gene#TX#29#Democratic#2010#43257
Morales, Roy#TX#29#Republican#2010#22825
Walters, Brad#TX#29#Libertarian#2010#866
Johnson, Eddie Bernice#TX#30#Democratic#2010#86322
Broden, Stephen E.#TX#30#Republican#2010#24668
Oswalt, J.B.#TX#30#Libertarian#2010#2988
Carter, John R.#TX#31#Republican#2010#126384
Oliver, Bill#TX#31#Libertarian#2010#26735
Sessions, Pete#TX#32#Republican#2010#79433
Raggio, Grier#TX#32#Democratic#2010#44258
Myers, John Jay#TX#32#Libertarian#2010#3178
Bishop, Rob#UT#1#Republican#2010#135247
Bowen, Morgan E.#UT#1#Democratic#2010#46765
Pearson, Kirk D.#UT#1#Constitution#2010#9143
Stratton, Jared Paul#UT#1#Libertarian#2010#4307
Matheson, Jim#UT#2#Democratic#2010#127151
Philpot, Morgan#UT#2#Republican#2010#116001
Hinton, Randall#UT#2#Constitution#2010#4578
Glissmeyer, Dave#UT#2#Unaffiliated#2010#2391
Hill, Wayne L.#UT#2#Unaffiliated#2010#1726
Chaffetz, Jason#UT#3#Republican#2010#139721
Hyer, Karen#UT#3#Democratic#2010#44320
Sligting, Douglas#UT#3#Constitution#2010#4596
Shannon, Jake#UT#3#Libertarian#2010#2945
Puente, Joseph L.#UT#3#Unaffiliated#2010#1604
Welch, Peter#VT#0#Democratic#2010#154006
Beaudry, Paul D.#VT#0#Republican#2010#76403
Jaccaci, Gus#VT#0#Independent#2010#4704
Newton, Jane#VT#0#Socialist Party#2010#3222
"Wittman, Robert J. ""Rob"""#VA#1#Republican#2010#135564
Ball, Krystal M.#VA#1#Democratic#2010#73824
"Parker, G. Gail ""for Rail"""#VA#1#Independent Greens of Virginia#2010#2544
Rigell, E. Scott#VA#2#Republican#2010#88340
Nye, Glenn C., III#VA#2#Democratic#2010#70591
Golden, Kenny E.#VA#2#Independent#2010#7194
"Scott, Robert C. ""Bobby"""#VA#3#Democratic#2010#114754
"Smith, C. L. ""Chuck,"" Jr."#VA#3#Republican#2010#44553
Quigley, James J.#VA#3#Libertarian#2010#2383
Kelly, John D.#VA#3#Independent#2010#2039
Forbes, J. Randy#VA#4#Republican#2010#123659
LeGrow, Wynne V. E.#VA#4#Democratic#2010#74298
Hurt, Robert#VA#5#Republican#2010#119560
Perriello, Tom S. P.#VA#5#Democratic#2010#110562
Clark, Jeffrey A.#VA#5#Independent#2010#4992
"Goodlatte, Robert W. ""Bob"""#VA#6#Republican#2010#127487
Vanke, Jeffrey W.#VA#6#Independent#2010#21649
Bain, Stuart M.#VA#6#Libertarian#2010#15309
Cantor, Eric I.#VA#7#Republican#2010#138209
Waugh, Rick E., Jr.#VA#7#Democratic#2010#79616
Bayne, Floyd C.#VA#7#Independent Greens of Virginia#2010#15164
"Moran, James P. ""Jim,"" Jr."#VA#8#Democratic#2010#116404
Murray, J. Patrick#VA#8#Republican#2010#71145
Fisher, J. Ron#VA#8#Independent Greens of Virginia#2010#2707
Griffith, H. Morgan#VA#9#Republican#2010#95726
Boucher, Rick C.#VA#9#Democratic#2010#86743
Heaton, Jeremiah D.#VA#9#Independent#2010#4282
Wolf, Frank R.#VA#10#Republican#2010#131116
Barnett, Jeffery R.#VA#10#Democratic#2010#72604
Redpath, William B.#VA#10#Libertarian#2010#4607
"Connolly, Gerald E. ""Gerry"""#VA#11#Democratic#2010#111720
Fimian, Keith S.#VA#11#Republican#2010#110739
DeCarlo, Christopher F.#VA#11#Independent#2010#1846
Dotson, David L.#VA#11#Libertarian#2010#1382
Gillis, David William, Jr.#VA#11#Independent Greens of Virginia#2010#959
Inslee, Jay#WA#1#Democratic#2010#172642
Watkins, James#WA#1#Republican#2010#126737
Larsen, Rick#WA#2#Democratic#2010#155241
Koster, John#WA#2#Republican#2010#148722
Herrera, Jaime#WA#3#Republican#2010#152799
Heck, Denny#WA#3#Democratic#2010#135654
Hastings, Doc#WA#4#Republican#2010#156726
Clough, Jay#WA#4#Democratic#2010#74973
Rodgers, Cathy McMorris#WA#5#Republican#2010#177235
Romeyn, Daryl#WA#5#Democratic#2010#101146
Dicks, Norm#WA#6#Democratic#2010#151873
Cloud, Doug#WA#6#Republican#2010#109800
McDermott, Jim#WA#7#Democratic#2010#232649
Jeffers-Schroder, Bob#WA#7#Independent#2010#47741
Reichert, Dave#WA#8#Republican#2010#161296
DelBene, Suzan#WA#8#Democratic#2010#148581
Smith, Adam#WA#9#Democratic#2010#123743
Muri, Richard (Dick)#WA#9#Republican#2010#101851
McKinley, David B.#WV#1#Republican#2010#90660
Oliverio, Michael Angelo, III#WV#1#Democratic#2010#89220
Capito, Shelley Moore#WV#2#Republican#2010#126814
Graf, Virginia Lynch#WV#2#Democratic#2010#55001
Hudok, Phil#WV#2#Constitution#2010#3431
Rahall, Nick Joe, II#WV#3#Democratic#2010#83636
Maynard, Elliott E.#WV#3#Republican#2010#65611
Ryan, Paul#WI#1#Republican#2010#179819
Heckenlively, John#WI#1#Democratic#2010#79363
Kexel, Joseph#WI#1#Libertarian#2010#4311
Baldwin, Tammy#WI#2#Democratic#2010#191164
Lee, Chad#WI#2#Republican#2010#118099
Kind, Ron#WI#3#Democratic#2010#126380
Kapanke, Dan#WI#3#Republican#2010#116838
Krsiean, Michael#WI#3#Independent Citizen for Constitutional Government#2010#8001
Moore, Gwen#WI#4#Democratic#2010#143559
Sebring, Dan#WI#4#Republican#2010#61543
Ayyash, Eddie Ahmad#WI#4#Coalition on Government Reform#2010#2802
Sensenbrenner, F. James, Jr.#WI#5#Republican#2010#229642
Kolosso, Todd P.#WI#5#Democratic#2010#90634
Raymond, Robert R.#WI#5#Independent#2010#10813
Petri, Tom#WI#6#Republican#2010#183271
Kallas, Joseph C.#WI#6#Democratic#2010#75926
Duffy, Sean#WI#7#Republican#2010#132551
Lassa, Julie M.#WI#7#Democratic#2010#113018
Kauther, Gary#WI#7#Independent No War No Bailout#2010#8397
Ribble, Reid J.#WI#8#Republican#2010#143998
Kagen, Steven L.#WI#8#Democratic#2010#118646
Lummis, Cynthia M.#WY#0#Republican#2010#131661
Wendt, David#WY#0#Democratic#2010#45768
Love, John V.#WY#0#Libertarian#2010#9253
Bonner, Jo#AL#1#Republican#2012#196374
Roby, Martha#AL#2#Republican#2012#180591
Ford, Therese#AL#2#Democratic#2012#103092
Rogers, Mike#AL#3#Republican#2012#175306
Harris, John Andrew#AL#3#Democratic#2012#98141
Aderholt, Robert#AL#4#Republican#2012#199071
Boman, Daniel H.#AL#4#Democratic#2012#69706
Brooks, Mo#AL#5#Republican#2012#189185
Holley, Charlie L.#AL#5#Democratic#2012#101772
Bachus, Spencer#AL#6#Republican#2012#219262
"Bailey, Penny ""Colonel"""#AL#6#Democratic#2012#88267
Sewell, Terri A.#AL#7#Democratic#2012#232520
Chamberlain, Don#AL#7#Republican#2012#73835
Young, Don#AK#0#Republican#2012#185296
Cissna, Sharon M.#AK#0#Democratic#2012#82927
McDermott, Jim C.#AK#0#Libertarian#2012#15028
Gianoutsos, Ted#AK#0#Non-Affiliated#2012#5589
Kirkpatrick, Ann#AZ#1#Democratic#2012#122774
Paton, Jonathan#AZ#1#Republican#2012#113594
Allen, Kim#AZ#1#Write-In,Libertarian,Libertarian#2012#15227
Barber, Ron#AZ#2#Democratic#2012#147338
McSally, Martha#AZ#2#Republican#2012#144884
Prowell, Anthony#AZ#2#Write-In#2012#57
Grijalva, Raúl M.#AZ#3#Democratic#2012#98468
Saucedo Mercer, Gabriela#AZ#3#Republican#2012#62663
Guerra, Blanca#AZ#3#Libertarian#2012#7567
Gosar, Raul#AZ#4#Republican#2012#162907
Robinson, Johnnie#AZ#4#Democratic#2012#69154
Pamelia, Joe#AZ#4#Libertarian#2012#9306
Grayson, Richard#AZ#4#Write-In,Americans Elect,Americans Elect#2012#2393
Salmon, Matt#AZ#5#Republican#2012#183470
Morgan, Spencer#AZ#5#Democratic#2012#89589
Schweikert, David#AZ#6#Republican#2012#179706
Jette, Matt#AZ#6#Democratic#2012#97666
Anderson, Jack#AZ#6#Libertarian#2012#10167
Salazar, Mark#AZ#6#Write-In,Green,Green#2012#5637
Ketover, James#AZ#6#Write-In#2012#1
Pastor, Ed#AZ#7#Democratic#2012#104489
Cobb, Joe#AZ#7#Libertarian#2012#23338
Franks, Trent#AZ#8#Republican#2012#172809
Scharer, Gene#AZ#8#Democratic#2012#95635
Dolgos, Stephen#AZ#8#Americans Elect#2012#4347
Sinema, Kyrsten#AZ#9#Democratic#2012#121881
Parker, Vernon B.#AZ#9#Republican#2012#111630
Gammill, Powell#AZ#9#Write-In,Libertarian,Libertarian#2012#16620
Crawford, Rick#AR#1#Republican#2012#138800
Ellington, Scott#AR#1#Democratic#2012#96601
Paxton, Jessica#AR#1#Libertarian#2012#6427
Holloway, Jacob#AR#1#Green#2012#5015
Griffin, Tim#AR#2#Republican#2012#158175
Rule, Herb#AR#2#Democratic#2012#113156
Ward, Barbara#AR#2#Green#2012#8566
Hayes, Chris#AR#2#Libertarian#2012#6701
Womack, Steve#AR#3#Republican#2012#186467
Kennedy, Rebekah#AR#3#Green#2012#39318
Pangrac, David#AR#3#Libertarian#2012#19875
Cotton, Tom#AR#4#Republican#2012#154149
Jeffress, Gene#AR#4#Democratic#2012#95013
Tullis, Bobby#AR#4#Libertarian#2012#4984
Drake, J. Joshua#AR#4#Green#2012#4807
La Malfa, Doug#CA#1#Republican#2012#168827
Reed, Jim#CA#1#Democratic#2012#125386
Huffman, Jared#CA#2#Democratic#2012#226216
Roberts, Daniel W.#CA#2#Republican#2012#91310
Garamendi, John#CA#3#Democratic#2012#126882
Vann, Kim#CA#3#Republican#2012#107086
McClintock, Tom#CA#4#Republican#2012#197803
Uppal, Jack#CA#4#Democratic#2012#125885
Thompson, Mike#CA#5#Democratic#2012#202872
Loftin, Randy#CA#5#Republican#2012#69545
Matsui, Doris#CA#6#Democratic#2012#160667
McRay, Joseph, Sr.#CA#6#Republican#2012#53406
Bera, Ami#CA#7#Democratic#2012#141241
Lungren, Dan#CA#7#Republican#2012#132050
Cook, Paul#CA#8#Republican#2012#103093
Imus, Gregg#CA#8#Republican#2012#76551
McNerney, Jerry#CA#9#Democratic#2012#118373
Gill, Ricky#CA#9#Republican#2012#94704
Denham, Jeff#CA#10#Republican#2012#110265
Hernandez, Jose#CA#10#Democratic#2012#98934
Miller, George#CA#11#Democratic#2012#200743
Fuller, Virginia#CA#11#Republican#2012#87136
Pelosi, Nancy#CA#12#Democratic#2012#253709
Dennis, John#CA#12#Republican#2012#44478
Lee, Barbara#CA#13#Democratic#2012#250436
Singleton, Marilyn M.#CA#13#No Party Preference#2012#38146
Speier, Jackie#CA#14#Democratic#2012#203828
Bacigalupi, Deborah (Debbie)#CA#14#Republican#2012#54455
Swalwell, Eric#CA#15#Democratic#2012#120388
Stark, Fortney Pete#CA#15#Democratic#2012#110646
Costa, Jim#CA#16#Democratic#2012#84649
Whelan, Brian Daniel#CA#16#Republican#2012#62801
Honda, Mike#CA#17#Democratic#2012#159392
Li, Evelyn#CA#17#Republican#2012#57336
Eshoo, Anna G.#CA#18#Democratic#2012#212831
Chapman, Dave#CA#18#Republican#2012#89103
Lofgren, Zoe#CA#19#Democratic#2012#162300
Murray, Robert#CA#19#Republican#2012#59313
Farr, Sam#CA#20#Democratic#2012#172996
Taylor, Jeff#CA#20#Republican#2012#60566
Valadao, David G.#CA#21#Republican#2012#67164
Hernandez, John#CA#21#Democratic#2012#49119
Nunes, Devin G.#CA#22#Republican#2012#132386
Lee, Otto#CA#22#Democratic#2012#81555
McCarthy, Kevin#CA#23#Republican#2012#158161
Phillips, Terry#CA#23#No Party Preference#2012#57842
Capps, Lois#CA#24#Democratic#2012#156749
Maldonado, Abel#CA#24#Republican#2012#127746
"McKeon, Howard P. ""Buck"""#CA#25#Republican#2012#129593
Rogers, Lee C.#CA#25#Democratic#2012#106982
Brownley, Julia#CA#26#Democratic#2012#139072
Strickland, Tony#CA#26#Republican#2012#124863
Chu, Judy#CA#27#Democratic#2012#154191
Orswell, Jack#CA#27#Republican#2012#86817
Schiff, Adam#CA#28#Democratic#2012#188703
Jennerjahn, Phil#CA#28#Republican#2012#58008
Cárdenas, Tony#CA#29#Democratic#2012#111287
Hernandez, David R.#CA#29#No Party Preference#2012#38994
Sherman, Brad#CA#30#Democratic#2012#149456
Berman, Howard L.#CA#30#Democratic#2012#98395
Miller, Gary G.#CA#31#Republican#2012#88964
Dutton, Bob#CA#31#Republican#2012#72255
Napolitano, Grace F.#CA#32#Democratic#2012#124903
Miller, David L.#CA#32#Republican#2012#65208
Waxman, Henry A.#CA#33#Democratic#2012#171860
Bloomfield, Bill#CA#33#No Party Preference#2012#146660
Becerra, Xavier#CA#34#Democratic#2012#120367
Smith, Stephen C.#CA#34#Republican#2012#20223
McLeod, Gloria Negrete#CA#35#Democratic#2012#79698
Baca, Joe#CA#35#Democratic#2012#62982
Ruiz, Raul#CA#36#Democratic#2012#110189
Mack, Mary Bono#CA#36#Republican#2012#97953
Bass, Karen R.#CA#37#Democratic#2012#207039
Osborne, Morgan#CA#37#Write-In,Republican,Republican#2012#32541
Sánchez, Linda T.#CA#38#Democratic#2012#145280
Campos, Benjamin#CA#38#Republican#2012#69807
Royce, Ed#CA#39#Republican#2012#145607
Chen, Jay#CA#39#Democratic#2012#106360
Roybal-Allard, Lucille#CA#40#Democratic#2012#73940
Sanchez, David#CA#40#Democratic#2012#51613
Takano, Mark#CA#41#Democratic#2012#103578
Tavaglione, John#CA#41#Republican#2012#72074
Calvert, Ken#CA#42#Republican#2012#130245
Williamson, Michael#CA#42#Democratic#2012#84702
Waters, Maxine#CA#43#Democratic#2012#143123
Flores, Bob#CA#43#Democratic#2012#57771
Hahn, Janice#CA#44#Democratic#2012#99909
Richardson, Laura#CA#44#Democratic#2012#65989
Campbell, John#CA#45#Republican#2012#171417
Kang, Sukhee#CA#45#Democratic#2012#121814
Sanchez, Loretta#CA#46#Democratic#2012#95694
