Year#District/State#Candidate Name#Vote Total#
2006#43 CA#Baca, Joe Democratic#52791#
2006#43 CA#Folkens, Scott Republican#29069#
2006#44 CA#Calvert, Ken Republican#89555#
2006#44 CA#Vandenberg, Louis Democratic#55275#
2006#44 CA#Akin, Kevin Peace and Freedom#4486#
2006#45 CA#Bono, Mary Republican#99638#
2006#45 CA#Roth, David Democratic#64613#
2006#46 CA#Rohrabacher, Dana Republican#116176#
2006#46 CA#Brandt, Jim Democratic#71573#
2006#46 CA#Chang, Dennis Libertarian#7303#
2006#47 CA#Sanchez, Loretta Democratic#47134#
2006#47 CA#Nguyen, Tan Republican#28485#
2006#48 CA#Campbell, John Republican#120130#
2006#48 CA#Young, Steve Democratic#74647#
2006#48 CA#Cohen, Bruce Libertarian#5750#
2006#49 CA#Issa, Darrell Republican#98831#
2006#49 CA#Criscenzo, Jeeni Democratic#52227#
2006#49 CA#Grossmith, Lars R. Libertarian#4952#
2006#49 CA#Ford, Frank Write-In#127#
2006#50 CA#Bilbray, Brian P. Republican#118018#
2006#50 CA#Busby, Francine Democratic#96612#
2006#50 CA#King, Paul Libertarian#4119#
2006#50 CA#Clark, Miriam E. Peace and Freedom#3353#
2006#51 CA#Filner, Bob Democratic#78114#
2006#51 CA#Miles, Blake L. Republican#34931#
2006#51 CA#Litwin, Dan Libertarian#2790#
2006#51 CA#Arguello, David Write-In#4#
2006#52 CA#Hunter, Duncan Republican#123696#
2006#52 CA#Rinaldi, John Democratic#61208#
2006#52 CA#Benoit, Michael Libertarian#6465#
2006#53 CA#Davis, Susan A. Democratic#97541#
2006#53 CA#"Woodrum, John ""Woody"" Republican"#43312#
2006#53 CA#Lippe, Ernie Libertarian#3534#
2006#1 CO#DeGette, Diana L. Democratic#129446#
2006#1 CO#Kelly, Thomas D. Green#32825#
2006#2 CO#Udall, Mark Democratic#157850#
2006#2 CO#Mancuso, Rich Republican#65481#
2006#2 CO#Olsen, Norm Libertarian#5025#
2006#2 CO#Calhoun, J.A. Green#2951#
2006#3 CO#Salazar, John Democratic#146488#
2006#3 CO#Tipton, Scott Republican#86930#
2006#3 CO#Sargent, Bert L. Libertarian#4417#
2006#3 CO#Lohmiller, Bruce E. Write-In#23#
2006#4 CO#Musgrave, Marilyn N. Republican#109732#
2006#4 CO#Paccione, Angie Democratic#103748#
2006#4 CO#Eidsness, Eric Colorado Reform Party#27133#
2006#5 CO#Lamborn, Doug Republican#123264#
2006#5 CO#Fawcett, Jay Democratic#83431#
2006#5 CO#Hand, Richard D. Write-In#41#
2006#5 CO#Scott, Brian X. Write-In#12#
2006#5 CO#Hollister, Gregory S. Write-In#8#
2006#6 CO#Tancredo, Tom Republican#158806#
2006#6 CO#Winter, Bill Democratic#108007#
2006#6 CO#Woehr, Jack J. Libertarian#4093#
2006#6 CO#Botero, Juan B. Write-In#25#
2006#7 CO#Perlmutter, Ed Democratic#103918#
2006#7 CO#O'Donnell, Rick Republican#79571#
2006#7 CO#Chandler, Dave Green#3073#
2006#7 CO#McCarville, Roger American Constitution Party#2605#
2006#7 CO#Heckman, John Write-In#2#
2006#7 CO#Moore, Steve Write-In#2#
2006#7 CO#Sexton, John David Write-In#1#
2006#1 CT#Larson, John B. Democratic#154539#
2006#1 CT#MacLean, Scott Republican#53010#
2006#1 CT#Masullo, Miriam J. Write-In#43#
2006#2 CT#Courtney, Joe Democratic#121248#
2006#2 CT#Simmons, Rob Republican#121165#
2006#3 CT#DeLauro, Rosa L. Democratic#150436#
2006#3 CT#Vollano, Joseph Republican#44386#
2006#3 CT#Sumrall, Daniel A. Green#3089#
2006#4 CT#Shays, Christopher Republican#106510#
2006#4 CT#Farrell, Diane Democratic#99450#
2006#4 CT#Maymin, Philip Z. Libertarian#3058#
2006#4 CT#Vacancy in Nomination Green#1#
2006#5 CT#Murphy, Chris Democratic,Working Families#122980#
2006#5 CT#Johnson, Nancy L. Republican#94824#
2006#0 DE#Castle, Michael N. Republican#143897#
2006#0 DE#Spivack, Dennis Democratic#97565#
2006#0 DE#Hartley-Nagle, Karen M. Independent Party of Delaware#5769#
2006#0 DE#Berg, Michael Green#4463#
2006#1 FL#Miller, Jeff Republican#135786#
2006#1 FL#Roberts, Joe Democratic#62340#
2006#2 FL#Boyd, Allen Democratic#Unopposed#
2006#3 FL#Brown, Corrine Democratic#Unopposed#
2006#4 FL#Crenshaw, Ander Republican#141759#
2006#4 FL#Harms, Robert J. Democratic#61704#
2006#4 FL#Blade, John Write-In#16#
