"Westbrook , C.",FL,8,DEM,2016,126962
"Stinson , B.",FL,8,OTHER,2016,16924
"Soto , D.",FL,9,DEM,2016,194963
"Liebnitzky , W.",FL,9,REP,2016,144281
"Demings , V.",FL,10,DEM,2016,198309
"Lowe , T.",FL,10,REP,2016,107423
"Webster , D.",FL,11,REP,2016,257881
"Koller , D.",FL,11,DEM,2016,124599
"Riggs , B.",FL,11,OTHER,2016,11961
"Bilirakis , G.",FL,12,REP,2016,253347
"Tager , R.",FL,12,DEM,2016,115909
"Crist , C.",FL,13,DEM,2016,184371
"Jolly , D.",FL,13,REP,2016,170964
"Castor , K.",FL,14,DEM,2016,194851
"Quinn , C.",FL,14,REP,2016,120584
"Ross , D.",FL,15,REP,2016,182498
"Lange , J.",FL,15,DEM,2016,134945
"Buchanan , V.",FL,16,REP,2016,230187
"Schneider , J.",FL,16,DEM,2016,154854
"Rooney , T.",FL,17,REP,2016,209135
"Freeman , A.",FL,17,DEM,2016,115801
"Sawyer , J.",FL,17,OTHER,2016,13336
"Mast , B.",FL,18,REP,2016,201011
"Perkins , R.",FL,18,DEM,2016,161328
"Spalding , C.",FL,18,OTHER,2016,12451
"Rooney , F.",FL,19,REP,2016,238975
"Neeld , R.",FL,19,DEM,2016,123625
"Hastings , A.",FL,20,DEM,2016,220452
"Stein , G.",FL,20,REP,2016,54079
"Frankel , L.",FL,21,DEM,2016,208999
"Spain , P.",FL,21,REP,2016,117273
"Trout , M.",FL,21,OTHER,2016,7148
"Deutch , T.",FL,22,DEM,2016,197396
"McGee , A.",FL,22,REP,2016,137691
"Wasserman Schultz , D.",FL,23,DEM,2016,180979
"Kaufman , J.",FL,23,REP,2016,129400
"Endriss , D.",FL,23,OTHER,2016,5100
"Milstein , L.",FL,23,OTHER,2016,3835
"Wilson , F.",FL,24,DEM,2016,1
"Diaz-Balart , M.",FL,25,REP,2016,157748
"Valdes , A.",FL,25,DEM,2016,95008
"Curbelo , C.",FL,26,REP,2016,148445
"Garcia , J.",FL,26,DEM,2016,115348
"Peixoto , J.",FL,26,OTHER,2016,16491
"Ros-Lehtinen , I.",FL,27,REP,2016,157763
"Fuhrman , S.",FL,27,DEM,2016,129548
"Carter , B.",GA,1,REP,2016,1
"Bishop , S.",GA,2,DEM,2016,146284
"Duke , G.",GA,2,REP,2016,93392
"Ferguson , D.",GA,3,REP,2016,206930
"Pendley , A.",GA,3,DEM,2016,95736
"Johnson , H.",GA,4,DEM,2016,214278
"Armendariz , V.",GA,4,REP,2016,69075
"Lewis , J.",GA,5,DEM,2016,241773
"Bell , D.",GA,5,REP,2016,44032
"Price , T.",GA,6,REP,2016,191792
"Stooksbury , R.",GA,6,DEM,2016,119536
"Woodall , R.",GA,7,REP,2016,173638
"Malik , R.",GA,7,DEM,2016,113593
"Scott , A.",GA,8,REP,2016,171529
