Year,Candidate Name,District/State,Vote Total
2016,R Winner R. Allen (i),12 georgia,"158,705"
2016,D T. McCracken,12 georgia,"98,870"
2016,D Winner D. Scott (i),13 georgia,NA
2016,R Winner T. Graves (i),14 georgia,NA
2016,D Winner C. Hanabusa,1 hawaii,"135,069"
2016,R S. Ostrov,1 hawaii,"42,569"
2016,L A. Yim,1 hawaii,"6,127"
2016,O C. Griffin,1 hawaii,"4,040"
2016,D Winner T. Gabbard (i),2 hawaii,"163,484"
2016,R A. Kaaihue,2 hawaii,"38,098"
2016,R Winner R. Labrador (i),1 idaho,"236,397"
2016,D J. Piotrowski,1 idaho,"111,035"
2016,R Winner M. Simpson (i),2 idaho,"208,887"
2016,D J. Martinez,2 idaho,"97,250"
2016,C A. Tomkins,2 idaho,"25,575"
2016,D Winner B. Rush (i),1 illinois,"221,551"
2016,R A. Deuser,1 illinois,"80,161"
2016,D Winner R. Kelly (i),2 illinois,"229,184"
2016,R J. Morrow,2 illinois,"58,788"
2016,D Winner D. Lipinski (i),3 illinois,NA
2016,D Winner L. Gutierrez (i),4 illinois,NA
2016,D Winner M. Quigley (i),5 illinois,"201,983"
2016,R V. Kolber,5 illinois,"82,931"
2016,G R. Sherman,5 illinois,"13,867"
2016,R Winner P. Roskam (i),6 illinois,"205,746"
2016,D A. Howland,6 illinois,"140,023"
2016,D Winner D. Davis (i),7 illinois,"232,322"
2016,R J. Leef,7 illinois,"44,242"
2016,D Winner R. Krishnamoorthi,8 illinois,"141,138"
2016,R P. DiCianni,8 illinois,"101,893"
2016,D Winner J. Schakowsky (i),9 illinois,"203,834"
2016,R J. McCarthy Lasonde,9 illinois,"105,920"
2016,D Winner B. Schneider,10 illinois,"147,299"
2016,R R. Dold (i),10 illinois,"133,383"
2016,D Winner B. Foster (i),11 illinois,"157,659"
2016,R T. Khouri,11 illinois,"105,762"
2016,R Winner M. Bost (i),12 illinois,"169,233"
2016,D C. Baricevic,12 illinois,"123,754"
2016,G P. Bradshaw,12 illinois,"18,713"
2016,R Winner R. Davis (i),13 illinois,"186,791"
2016,D M. Wicklund,13 illinois,"125,932"
2016,R Winner R. Hultgren (i),14 illinois,"197,962"
2016,D J. Walz,14 illinois,"134,362"
2016,R Winner J. Shimkus (i),15 illinois,NA
2016,R Winner A. Kinzinger (i),16 illinois,NA
2016,D Winner C. Bustos (i),17 illinois,"170,746"
2016,R P. Harlan,17 illinois,"113,141"
2016,R Winner D. LaHood (i),18 illinois,"248,701"
2016,D J. Rodriguez,18 illinois,"95,741"
2016,D Winner P. Visclosky (i),1 indiana,"207,299"
2016,L D. Dunn,1 indiana,"47,009"
2016,R Winner J. Walorski (i),2 indiana,"164,276"
2016,D L. Coleman,2 indiana,"102,332"
2016,L R. Cenkush,2 indiana,"10,594"
2016,R Winner J. Banks,3 indiana,"201,216"
2016,D T. Schrader,3 indiana,"65,908"
2016,L P. Snyder,3 indiana,"19,782"
2016,R Winner T. Rokita (i),4 indiana,"193,272"
2016,D J. Dale,4 indiana,"91,153"
2016,L S. Mayoras,4 indiana,"14,758"
2016,R Winner S. Brooks (i),5 indiana,"221,785"
2016,D A. Demaree,5 indiana,"123,791"
2016,L M. Wittlief,5 indiana,"15,324"
2016,R Winner L. Messer (i),6 indiana,"204,844"
2016,D B. Welsh,6 indiana,"79,075"
2016,L R. Turvey,6 indiana,"12,325"
2016,D Winner A. Carson (i),7 indiana,"158,606"
2016,R C. Ping,7 indiana,"94,396"
2016,L D. Thompson,7 indiana,"11,470"
2016,R Winner L. Bucshon (i),8 indiana,"187,569"
2016,D R. Drake,8 indiana,"93,130"
2016,L A. Horning,8 indiana,"13,630"
2016,R Winner T. Hollingsworth,9 indiana,"174,698"
2016,D S. Yoder,9 indiana,"130,539"
2016,L R. Brooksbank,9 indiana,"17,417"
2016,R Winner R. Blum (i),1 iowa,"206,273"
2016,D M. Vernon,1 iowa,"176,447"
2016,D Winner D. Loebsack (i),2 iowa,"197,802"
2016,R C. Peters,2 iowa,"170,529"
2016,R Winner D. Young (i),3 iowa,"208,264"
2016,D J. Mowrer,3 iowa,"154,780"
2016,L B. Holder,3 iowa,"15,337"
2016,P C. Addy,3 iowa,"6,335"
2016,P J. Grandanette,3 iowa,"4,511"
2016,R Winner S. King (i),4 iowa,"225,842"
2016,D K. Weaver,4 iowa,"142,018"
2016,R Winner R. Marshall,1 kansas,"166,051"
2016,I A. LaPolice,1 kansas,"66,218"
2016,L K. Burt,1 kansas,"18,415"
2016,R Winner L. Jenkins (i),2 kansas,"177,851"
2016,D B. Potter,2 kansas,"94,561"
2016,L J. Bales,2 kansas,"18,700"
2016,R Winner K. Yoder (i),3 kansas,"171,647"
2016,D J. Sidie,3 kansas,"135,778"
2016,L S. Hohe,3 kansas,"26,897"
2016,R Winner M. Pompeo (i),4 kansas,"163,406"
2016,D D. Giroux,4 kansas,"78,822"
2016,I M. Allen,4 kansas,"18,358"
2016,L G. Bakken,4 kansas,"7,420"
2016,R Winner J. Comer,1 kentucky,"216,957"
2016,D S. Gaskins,1 kentucky,"81,710"
2016,R Winner B. Guthrie (i),2 kentucky,NA
2016,D Winner J. Yarmuth (i),3 kentucky,"212,388"
2016,R H. Bratcher,3 kentucky,"122,085"
2016,O E. Corley,3 kentucky,0
2016,R Winner T. Massie (i),4 kentucky,"233,922"
2016,D C. Sidle,4 kentucky,"94,064"
2016,R Winner H. Rogers (i),5 kentucky,NA
2016,R Winner A. Barr (i),6 kentucky,"202,094"
2016,D N. Kemper,6 kentucky,"128,725"
2016,R Winner S. Scalise (i),1 louisiana,"243,575"
2016,D L. Dugas,1 louisiana,"41,816"
2016,D D. Faust,1 louisiana,"12,698"
2016,L H. Kearney,1 louisiana,"9,395"
2016,D J. Swider,1 louisiana,"9,231"
2016,G E. Barron,1 louisiana,"6,712"
2016,N C. Yang,1 louisiana,"3,233"
2016,D Winner C. Richmond (i),2 louisiana,"198,169"
2016,D K. Holden,2 louisiana,"57,083"
2016,D K. Cutno,2 louisiana,"28,826"
2016,R Winner* S. Angelle,3 louisiana,"91,374"
2016,R Winner* C. Higgins,3 louisiana,"84,809"
2016,D J. Hebert,3 louisiana,"28,358"
2016,D L. Rader,3 louisiana,"27,807"
2016,R G. Rantz,3 louisiana,"25,640"
2016,R G. Ellison,3 louisiana,"24,845"
2016,R B. Geymann,3 louisiana,"21,606"
2016,R B. Barrilleaux,3 louisiana,"6,215"
2016,L G. McLendon,3 louisiana,"2,934"
2016,R G. Rees,3 louisiana,"2,455"
2016,N K. Scelfo,3 louisiana,"2,667"
