Year,Candidate Name,District/State,Vote Total
2016,D S. Lloyd,6 wisconsin,"132,908"
2016,I J. Dahlke,6 wisconsin,"19,690"
2016,R Winner S. Duffy (i),7 wisconsin,"222,834"
2016,D M. Hoeft,7 wisconsin,"137,910"
2016,R Winner M. Gallagher,8 wisconsin,"227,732"
2016,D T. Nelson,8 wisconsin,"135,648"
2016,R Winner L. Cheney,1 wyoming,"156,040"
2016,D R. Greene,1 wyoming,"75,419"
2016,C D. Cummings,1 wyoming,"10,381"
2016,L L. Struempf,1 wyoming,"9,028"
